id,name
1,Advanced hand-to-hand combat
2,Advanced hacking skills
3,Extraordinary physical endurance
4,Infiltration skills
5,Military training
6,Advanced artificial intelligence
7,Behavioral psychology
8,Pain resistance
9,Surveillance photography
10,Guerilla tactics
11,Voice disguise
12,Expertise in toxic botany
13,Hypnosis training
14,International sign language
15,Explosive chemistry
16,Mystic immortality
17,Metalworking
18,Expert in cryptography
19,Advanced interrogation techniques
20,Acrobatic skills
21,Deep historical knowledge
22,Survival in hostile environments
23,Facial recognition and photographic memory
24,Expert in poisons
25,Self-defense training
26,Media manipulation
27,Advanced camouflage
28,Knowledge of ancient magic arts
29,Escape and evasion techniques
30,Deep hypnosis skills
31,Advanced marksmanship
32,Piloting skills
33,Emotional control
34,Hunting and tracking
35,Negotiation skills
36,Production of technological gadgets
37,Knowledge of human biology
38,Exceptional mental endurance
39,Quick recovery
40,Analysis of enemy weaknesses
